"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/20/2017","64","PM2.5","Reseda","06-037-1201","AQS"
"10/21/2017","55","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"10/22/2017","64","Ozone","Pasadena","06-037-2005","AQS"
"10/23/2017","73","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/24/2017","104","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/25/2017","71","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/26/2017","76","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/27/2017","97","Ozone","Reseda","06-037-1201","AQS"
"10/28/2017","94","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"10/29/2017","118","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"10/30/2017","64","PM2.5","Reseda","06-037-1201","AQS"
"10/31/2017","63","PM2.5","Reseda","06-037-1201","AQS"
"11/01/2017","59","PM2.5","Reseda","06-037-1201","AQS"
"11/02/2017","50","PM2.5","Reseda","06-037-1201","AQS"
"11/03/2017","54","PM2.5","Reseda","06-037-1201","AQS"
"11/04/2017","51","PM2.5","Reseda","06-037-1201","AQS"
"11/05/2017","43","PM2.5","Reseda","06-037-1201","AQS"
"11/06/2017","48","PM2.5","Reseda","06-037-1201","AQS"
"11/07/2017","50","PM2.5","Reseda","06-037-1201","AQS"
"11/08/2017","48","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/09/2017","45","PM2.5","Reseda","06-037-1201","AQS"
"11/10/2017","57","PM2.5","Reseda","06-037-1201","AQS"
"11/11/2017","66","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"11/12/2017","92","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"11/13/2017","83","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/14/2017","76","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"11/15/2017","87","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"11/16/2017","88","NO2","Long Beach (Hudson)","06-037-4006","AQS"
"11/17/2017","47","PM2.5","Reseda","06-037-1201","AQS"
"11/18/2017","52","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"11/19/2017","53","PM2.5","Reseda","06-037-1201","AQS"
"11/20/2017","74","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/21/2017","75","PM2.5","Long Beach (South)","06-037-4004","AQS"
"11/22/2017","71","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/23/2017","54","PM2.5","Reseda","06-037-1201","AQS"
"11/24/2017","74","PM2.5","Compton","06-037-1302","AQS"
"11/25/2017","81","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"11/26/2017","121","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"11/27/2017","71","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"11/28/2017","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/29/2017","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/30/2017","79","PM2.5","Long Beach (South)","06-037-4004","AQS"
"12/01/2017","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/02/2017","80","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/03/2017","77","PM2.5","Compton","06-037-1302","AQS"
"12/04/2017","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"12/05/2017","70","PM2.5","Reseda","06-037-1201","AQS"
"12/06/2017","107","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/07/2017","91","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/08/2017","101","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/09/2017","70","PM2.5","Compton","06-037-1302","AQS"
"12/10/2017","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/11/2017","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
